B10K-CU-031-01,ARDKOR_R01093,ENSTGUP00000017312,2,unknown,Otidiformes,Ardeotis kori
B10K-CU-031-01,ARDKOR_R01356,ENSTGUP00000000454,2,CKS2,Otidiformes,Ardeotis kori
B10K-CU-031-01,ARDKOR_R03893,ENSTGUP00000008873,108,unknown,Otidiformes,Ardeotis kori
B10K-CU-031-01,ARDKOR_R03894,ENSTGUP00000014662,12,unknown,Otidiformes,Ardeotis kori
B10K-CU-031-01,ARDKOR_R04240,ENSGALP00000024227,21,UHRF2,Otidiformes,Ardeotis kori
B10K-CU-031-01,ARDKOR_R05633,ENSTGUP00000015226,4,unknown,Otidiformes,Ardeotis kori
B10K-CU-031-01,ARDKOR_R05655,ENSTGUP00000001400,107,unknown,Otidiformes,Ardeotis kori
B10K-CU-031-01,ARDKOR_R05709,ENSGALP00000023277,10,unknown,Otidiformes,Ardeotis kori
B10K-CU-031-01,ARDKOR_R05826,ENSTGUP00000007783,11,unknown,Otidiformes,Ardeotis kori
B10K-CU-031-01,ARDKOR_R08461,ENSGALP00000020520,1188,unknown,Otidiformes,Ardeotis kori
B10K-CU-031-01,ARDKOR_R08462,ENSGALP00000023165,14,unknown,Otidiformes,Ardeotis kori
B10K-CU-031-01,ARDKOR_R08669,ENSTGUP00000014757,1,unknown,Otidiformes,Ardeotis kori
B10K-CU-031-01,ARDKOR_R08744,ENSTGUP00000014820,4,unknown,Otidiformes,Ardeotis kori
B10K-CU-031-01,ARDKOR_R08775,ENSTGUP00000014662,13,unknown,Otidiformes,Ardeotis kori
B10K-CU-031-01,ARDKOR_R09986,ENSTGUP00000007395,4,ZBTB5,Otidiformes,Ardeotis kori
B10K-CU-031-01,ARDKOR_R10008,ENSTGUP00000014757,6,unknown,Otidiformes,Ardeotis kori
B10K-CU-031-01,ARDKOR_R10012,ENSTGUP00000014757,18,unknown,Otidiformes,Ardeotis kori
B10K-CU-031-01,ARDKOR_R10032,ENSTGUP00000014336,63,unknown,Otidiformes,Ardeotis kori
B10K-CU-031-01,ARDKOR_R11448,ENSTGUP00000005231,65,unknown,Otidiformes,Ardeotis kori
B10K-CU-031-01,ARDKOR_R12915,ENSTGUP00000018150,2,FEM1A,Otidiformes,Ardeotis kori
B10K-CU-031-01,ARDKOR_R14305,ENSTGUP00000000844,5,ZFAND5,Otidiformes,Ardeotis kori
